fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
125,bus,0.6537697911262512,1,1288,239,1423,373,,,,,,,
125,car,0.7501509785652161,2,1421,321,1517,382,,,,,,,
125,car,0.5274553298950195,6,1243,315,1289,346,,,,,,,
126,person,0.7937524914741516,3,121,247,217,475,,,,,,,
126,bus,0.6608351469039917,1,1289,239,1421,373,,,,,,,
126,car,0.7455353736877441,2,1422,322,1517,381,,,,,,,
126,car,0.4834342896938324,6,1241,315,1289,347,,,,,,,
127,person,0.8092525005340576,3,125,242,221,475,,,,,,,
127,bus,0.6588965058326721,1,1289,239,1419,372,,,,,,,
127,car,0.7442368865013123,2,1421,322,1516,381,,,,,,,
127,car,0.4480458199977875,6,1241,315,1289,347,,,,,,,
128,person,0.8074818849563599,3,130,238,223,475,,,,,,,
128,bus,0.7158388495445251,1,1289,239,1419,371,,,,,,,
128,car,0.7416486144065857,2,1422,322,1516,382,,,,,,,
128,car,0.45164602994918823,6,1240,315,1289,347,,,,,,,
129,person,0.7796025276184082,3,141,244,226,474,,,,,,,
129,bus,0.7480481266975403,1,1288,241,1416,371,,,,,,,
129,car,0.7359580993652344,2,1427,321,1516,381,,,,,,,
129,car,0.4526691734790802,6,1241,315,1288,346,,,,,,,
129,car,0.4507564902305603,11,1405,321,1464,376,,,,,,,
130,person,0.75455242395401,3,148,245,229,472,,,,,,,
130,bus,0.7084496021270752,1,1288,241,1416,370,,,,,,,
130,car,0.7176507115364075,2,1431,321,1516,381,,,,,,,
130,car,0.4827812910079956,11,1402,321,1458,375,,,,,,,
131,person,0.7915563583374023,3,156,244,233,471,,,,,,,
131,bus,0.6997348666191101,1,1287,242,1415,369,,,,,,,
131,car,0.7149760723114014,2,1432,321,1516,381,,,,,,,
131,car,0.49452513456344604,11,1402,322,1458,376,,,,,,,
132,person,0.8288872838020325,3,161,247,239,470,,,,,,,
132,bus,0.7102210521697998,1,1287,241,1413,369,,,,,,,
132,car,0.7161301970481873,2,1430,321,1515,381,,,,,,,
132,car,0.4745365083217621,11,1402,322,1459,375,,,,,,,
132,truck,0.46446841955184937,12,1286,240,1413,370,,,,,,,
132,car,0.41843119263648987,6,1243,314,1285,345,,,,,,,
133,person,0.831531822681427,3,167,246,245,470,,,,,,,
133,bus,0.7070671916007996,1,1287,242,1411,368,,,,,,,
133,car,0.7235175967216492,2,1424,321,1515,381,,,,,,,
133,car,0.4571608901023865,11,1403,323,1458,375,,,,,,,
133,car,0.44699421525001526,6,1242,315,1285,345,,,,,,,
134,person,0.8533379435539246,3,171,241,251,469,,,,,,,
134,bus,0.5768758058547974,1,1287,244,1410,367,,,,,,,
134,car,0.712648332118988,2,1424,321,1515,381,,,,,,,
134,car,0.4316190779209137,11,1401,323,1458,374,,,,,,,
134,car,0.4249630868434906,6,1242,315,1284,345,,,,,,,
135,person,0.8512929081916809,3,178,240,259,467,,,,,,,
135,truck,0.5534640550613403,1,1285,245,1409,368,,,,,,,
135,car,0.7186244130134583,2,1424,321,1514,382,,,,,,,
135,car,0.4156232178211212,11,1399,323,1458,374,,,,,,,
135,car,0.4332987368106842,6,1241,315,1285,345,,,,,,,
135,bus,0.5049660801887512,13,1286,246,1410,367,,,,,,,
136,person,0.8251578211784363,3,182,241,273,467,,,,,,,
136,truck,0.5788332223892212,1,1285,246,1407,368,,,,,,,
136,car,0.709538459777832,2,1424,321,1513,382,,,,,,,
136,car,0.4486328959465027,11,1399,323,1457,374,,,,,,,
136,bus,0.6662381291389465,13,1287,246,1409,367,,,,,,,
137,person,0.8234774470329285,3,185,246,279,468,,,,,,,
137,car,0.7172867655754089,2,1420,320,1513,382,,,,,,,
137,car,0.43924179673194885,11,1400,323,1459,374,,,,,,,
137,car,0.43951380252838135,6,1240,315,1284,345,,,,,,,
138,person,0.8285098671913147,3,188,250,282,468,,,,,,,
138,car,0.7069957256317139,2,1420,320,1514,382,,,,,,,
138,car,0.446161687374115,11,1398,323,1459,374,,,,,,,
138,car,0.4449695944786072,6,1240,315,1283,344,,,,,,,
138,bus,0.6303576231002808,1,1285,247,1406,367,,,,,,,
139,person,0.8481943011283875,3,191,256,284,469,,,,,,,
139,car,0.7068386077880859,2,1419,320,1514,382,,,,,,,
139,car,0.46437183022499084,11,1396,323,1458,373,matricula,0.578202486038208,1396,323,1458,373,
139,car,0.4312473237514496,6,1240,316,1282,344,,,,,,,
139,truck,0.5870912075042725,14,1284,247,1405,367,,,,,,,
139,bus,0.6607401967048645,1,1285,248,1405,367,,,,,,,
140,person,0.859657883644104,3,193,257,287,469,,,,,,,
140,car,0.6955790519714355,2,1419,321,1514,382,,,,,,,
140,car,0.46551963686943054,11,1393,323,1458,372,,,,,,,
140,car,0.40855833888053894,6,1239,316,1281,344,,,,,,,
140,bus,0.6999314427375793,1,1284,249,1405,368,,,,,,,
141,person,0.8615140318870544,3,196,262,288,469,,,,,,,
141,car,0.6921977996826172,2,1419,320,1515,382,,,,,,,
141,car,0.447848916053772,11,1390,323,1458,372,,,,,,,
141,car,0.4055740535259247,6,1237,316,1280,344,,,,,,,
141,bus,0.701179027557373,1,1283,249,1403,367,,,,,,,
142,person,0.8589619994163513,3,200,257,289,468,,,,,,,
142,car,0.6910803318023682,2,1420,321,1515,382,,,,,,,
142,car,0.4386341869831085,11,1387,323,1459,372,,,,,,,
142,car,0.42811381816864014,6,1237,316,1280,344,,,,,,,
142,truck,0.5348872542381287,1,1281,249,1402,367,,,,,,,
143,person,0.8380602598190308,3,205,255,290,467,,,,,,,
143,car,0.6838268637657166,2,1422,321,1514,381,,,,,,,
143,car,0.4249807298183441,11,1384,323,1463,372,,,,,,,
143,car,0.41303619742393494,6,1236,316,1279,344,,,,,,,
143,truck,0.5685484409332275,1,1279,248,1400,367,,,,,,,
143,bus,0.4920765459537506,16,1280,250,1397,367,,,,,,,
144,person,0.8206563591957092,3,212,254,290,465,,,,,,,
144,car,0.6891607642173767,2,1423,321,1516,382,,,,,,,
144,car,0.419513463973999,11,1383,323,1462,372,,,,,,,
144,truck,0.5241075754165649,1,1278,248,1398,367,,,,,,,
144,bus,0.5410925149917603,16,1279,249,1395,366,,,,,,,
145,person,0.8256186246871948,3,221,248,292,464,,,,,,,
145,car,0.6706815958023071,2,1424,322,1516,382,,,,,,,
145,car,0.40423548221588135,11,1382,323,1462,372,,,,,,,
145,truck,0.5339715480804443,1,1277,248,1397,366,,,,,,,
145,bus,0.5627484917640686,16,1278,249,1393,365,,,,,,,
146,person,0.7969823479652405,3,229,245,294,462,,,,,,,
146,car,0.6613757014274597,2,1425,322,1516,382,,,,,,,
146,car,0.4595048129558563,11,1382,324,1451,368,,,,,,,
146,bus,0.6397870779037476,1,1277,248,1395,365,,,,,,,
147,person,0.7992079257965088,3,233,244,296,461,,,,,,,
147,car,0.6160082221031189,2,1425,322,1515,381,,,,,,,
147,car,0.42804497480392456,11,1384,324,1446,366,,,,,,,
147,bus,0.5976815223693848,1,1277,249,1393,365,,,,,,,
148,car,0.5586604475975037,2,1425,322,1512,381,,,,,,,
148,car,0.501600980758667,11,1382,324,1446,366,,,,,,,
148,bus,0.6357051730155945,1,1276,249,1393,365,,,,,,,
149,car,0.5547849535942078,2,1426,322,1510,380,,,,,,,
149,car,0.5476993918418884,11,1382,323,1444,365,,,,,,,
149,bus,0.7160565257072449,1,1276,250,1392,365,,,,,,,
150,car,0.5743609666824341,2,1426,322,1511,381,,,,,,,
150,car,0.5539405941963196,11,1381,323,1442,365,,,,,,,
150,bus,0.7375585436820984,1,1276,250,1392,365,,,,,,,
151,person,0.7936096787452698,18,241,247,315,461,,,,,,,
151,car,0.5812487602233887,2,1426,323,1511,381,,,,,,,
151,car,0.5906484723091125,11,1381,323,1440,364,,,,,,,
151,bus,0.7519677877426147,1,1275,250,1391,364,,,,,,,
151,car,0.419185608625412,19,1382,323,1454,371,,,,,,,
152,person,0.7732815742492676,18,242,250,319,461,,,,,,,
152,car,0.5591858625411987,2,1426,323,1509,381,,,,,,,
152,car,0.5506494045257568,11,1381,323,1438,364,,,,,,,
152,bus,0.7768622040748596,1,1274,250,1389,364,,,,,,,
152,car,0.4055427610874176,19,1383,323,1454,371,,,,,,,
153,person,0.79792320728302,18,242,252,322,461,,,,,,,
153,car,0.5519619584083557,2,1426,323,1508,381,matricula,0.7388581037521362,1426,323,1458,372,
153,car,0.5477166771888733,11,1381,323,1437,364,,,,,,,
153,bus,0.8252036571502686,1,1274,251,1386,364,,,,,,,
153,car,0.4113410413265228,19,1383,323,1455,371,,,,,,,
154,person,0.7876643538475037,18,247,252,325,459,,,,,,,
154,car,0.5319030284881592,2,1425,323,1507,381,,,,,,,
154,car,0.5817108750343323,11,1379,323,1439,365,,,,,,,
154,bus,0.8118199110031128,1,1273,251,1385,364,,,,,,,
154,car,0.4201638698577881,19,1380,323,1455,372,,,,,,,
155,person,0.7492701411247253,18,250,257,329,459,,,,,,,
155,car,0.5275927186012268,2,1425,323,1505,381,,,,,,,
155,car,0.5854955315589905,11,1377,323,1438,365,,,,,,,
155,bus,0.7735114097595215,1,1273,251,1384,362,,,,,,,
156,person,0.7238432765007019,18,252,256,331,459,,,,,,,
156,car,0.5128917694091797,2,1425,323,1504,379,,,,,,,
156,car,0.5977073907852173,11,1377,323,1439,365,,,,,,,
156,bus,0.7816050052642822,1,1272,251,1382,362,,,,,,,
